rank,game,prize,players,tournaments,month,year
33,Age of Empires IV,10816.36,61,10,11,2022
34,Blaston,10000.0,12,2,11,2022
35,League of Legends: Wild Rift,10000.0,10,1,11,2022
36,Guilty Gear -STRIVE-,8651.18,23,5,11,2022
37,Dragon Ball FighterZ,8373.13,24,3,11,2022
38,Echo Arena,7550.0,43,3,11,2022
39,Onward,7000.0,17,1,11,2022
40,osu!,6239.92,30,2,11,2022
41,Fall Guys,6000.0,0,1,11,2022
42,Trackmania (2020),5841.72,47,18,11,2022
43,Rezzil Player,5300.0,10,1,11,2022
44,rFactor 2,5123.56,29,2,11,2022
45,Age of Empires,4198.19,23,4,11,2022
46,Diabotical,3135.0,26,13,11,2022
47,Lichess,2000.0,9,2,11,2022
48,DNF Duel,1139.84,3,1,11,2022
49,Melty Blood: Type Lumina,1139.84,3,1,11,2022
50,Age of Mythology,215.0,2,3,11,2022
1,Arena of Valor,11000000.0,154,2,12,2022
2,Call of Duty: Mobile,1700000.0,91,1,12,2022
3,Counter-Strike: Global Offensive,1653963.53,570,25,12,2022
4,CrossFire,1340000.0,71,1,12,2022
5,Fortnite,1294100.0,177,6,12,2022
6,Naraka: Bladepoint,1123000.0,57,1,12,2022
7,Apex Legends,807526.16,570,37,12,2022
8,F1 22,750000.0,22,1,12,2022
9,Overwatch 2,681408.0,229,6,12,2022
10,Call of Duty: Modern Warfare II,501500.0,40,2,12,2022
11,Hearthstone,500000.0,16,1,12,2022
12,Rocket League,367364.21,172,23,12,2022
13,CrossFire Mobile,345120.0,0,1,12,2022
14,Rainbow Six Siege,301785.87,174,7,12,2022
15,Dota 2,273500.0,178,6,12,2022
16,VALORANT,237331.45,289,15,12,2022
17,League of Legends,232081.5,80,3,12,2022
18,Legends of Runeterra,200000.0,16,1,12,2022
19,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,173570.62,158,4,12,2022
20,Mobile Legends: Bang Bang,134406.0,88,6,12,2022
21,Age of Empires II,125458.66,130,20,12,2022
22,Chess.com,120000.0,38,9,12,2022
23,League of Legends: Wild Rift,101499.5,96,3,12,2022
24,StarCraft II,80621.02,64,22,12,2022
25,Tekken 7,78404.66,59,10,12,2022
26,Age of Empires IV,40959.63,50,8,12,2022
27,StarCraft: Remastered,35530.2,12,2,12,2022
28,Minecraft,30100.0,21,2,12,2022
29,eFootball,25000.0,3,1,12,2022
30,Old School Runescape,20000.0,10,1,12,2022
31,Guilty Gear -STRIVE-,17984.83,22,4,12,2022
32,DNF Duel,14902.17,8,1,12,2022
33,Diabotical,13015.0,65,13,12,2022
34,King of Fighters XV,12530.14,31,4,12,2022
35,iRacing.com,10700.0,6,1,12,2022
